id,ownerUsername,timestamp,locationName,caption,type,likesCount,commentsCount,videoViewCount,videoPlayCount,videoDuration,videoUrl,musicInfo/artist_name,musicInfo/audio_id,musicInfo/should_mute_audio,musicInfo/should_mute_audio_reason,musicInfo/song_name,musicInfo/uses_original_audio,isSponsored,isPinned,hashtags/0,hashtags/1,hashtags/2,hashtags/3,hashtags/4,hashtags/5,hashtags/6,hashtags/7,hashtags/8,hashtags/9,hashtags/10,hashtags/11,hashtags/12,hashtags/13,hashtags/14,hashtags/15,hashtags/16,user_followersCount
3522923886333240203,user1,2024-12-14T14:07:55.000Z,Malta,"🐟 

.
.
.
.
.
.
.

#fallstyle #outfitinspiration #coastalstyle #longskirtstyling #thriftedoutfit #vintagestyling #outfitinspo #eurofall #pinterestaesthetic #contentcreatormalta #microinfluencer #styleinspo #ootd",Sidecar,-1,114,,,,,,,,,,,False,,fallstyle,outfitinspiration,coastalstyle,longskirtstyling,thriftedoutfit,vintagestyling,outfitinspo,eurofall,pinterestaesthetic,contentcreatormalta,microinfluencer,styleinspo,ootd,,,,,2017
3515616726511352970,user1,2024-12-04T12:09:54.000Z,"Valletta, Malta","🌞

.
.
.
.
.
.
.
.

Fall outfit, thrifted style, vintage clothing outfit inspiration. #streetstyle #thriftedootd #maltacontentcreator #outfitinspo #styleinspo #fallfits #pinterestaesthetic #cafeoutfit #pinterestoutfit",Sidecar,-1,118,,,,,,,,,,,False,,streetstyle,thriftedootd,maltacontentcreator,outfitinspo,styleinspo,fallfits,pinterestaesthetic,cafeoutfit,pinterestoutfit,,,,,,,,,2017
3504077318599620013,user1,2024-11-18T14:03:09.000Z,"Naples, Italy","🖼️

.
.
.
.
.
.
.
.

Thrifted fashion inspo, fall outfit, skirt look, layered outfit, Italy outfit, street style, museum aesthetic. #pinterestfall #pinteresteurope #italyootd #museumoutfit #layeredoutfit #fallfits #thriftedstyle #streetstyle #outfitinspiration",Sidecar,-1,127,,,,,,,,,,,False,,pinterestfall,pinteresteurope,italyootd,museumoutfit,layeredoutfit,fallfits,thriftedstyle,streetstyle,outfitinspiration,,,,,,,,,2017
3500422427586962100,user1,2024-11-13T13:01:32.000Z,"Naples, Italy","🦂

.
.
.
.
.
.

Night out style, evening look, tights look, heeled outfit, mini skirt, vintage shirt, thrifted clothing styled. #italianevening #nightoutlook #birthdayoutfit #thriftedstyle #streetstyle #eurofashion #falloutfit #pinterestnightout #pinteresteurope #italyoutfit #styleinspo",Sidecar,-1,169,,,,,,,,,,,False,,italianevening,nightoutlook,birthdayoutfit,thriftedstyle,streetstyle,eurofashion,falloutfit,pinterestnightout,pinteresteurope,italyoutfit,styleinspo,,,,,,,2017
3502520894870331632,user1,2024-11-16T10:30:49.000Z,"Sorrento, Italy","☮️🫂🌞 the most beautiful day 

.
.
.
.
.
.
.
.

#birthdayoutfit #fallfits #outfitinspiration #italyootd #coastaloutfit #longskirtlook #vintageclothingstyle #thriftedoutfit #outfitinspo #elegantaesthetic #pinterestaesthetic #italianfall #styleinspo #ootd #eurofallstyle",Sidecar,-1,159,,,,,,,,,,,False,,birthdayoutfit,fallfits,outfitinspiration,italyootd,coastaloutfit,longskirtlook,vintageclothingstyle,thriftedoutfit,outfitinspo,elegantaesthetic,pinterestaesthetic,italianfall,styleinspo,ootd,eurofallstyle,,,2017
3510596884330732735,user1,2024-11-27T13:56:22.000Z,"Gozo, Malta","I’ll be here from now on 🏜️

.
.
.
.
.
.
.
.
.

#outfitinspiration #influencermalta #falloutfit #eurofall #pinterestaesthetic #coastaloutfit #longskirtlook #thriftedstyle #styleinspiration #outfitinspo",Sidecar,-1,151,,,,,,,,,,,False,,outfitinspiration,influencermalta,falloutfit,eurofall,pinterestaesthetic,coastaloutfit,longskirtlook,thriftedstyle,styleinspiration,outfitinspo,,,,,,,,2017
3518575833828663340,user1,2024-12-08T14:09:07.000Z,"Valletta, Malta","Happy Christmas month <3

.
.
.
.
.
.
.

Christmas market aesthetic, December outfit, denim look, all denim outfit, street style, outfit inspo winter. #winterootd #streetstyle #denimlook #thriftedstyle #dieseldenim #outfitinspo #pinterestaesthetic #y2koutfit #lowrisejeans #styleinspo #contentcreatormalta",Sidecar,-1,114,,,,,,,,,,,False,,winterootd,streetstyle,denimlook,thriftedstyle,dieseldenim,outfitinspo,pinterestaesthetic,y2koutfit,lowrisejeans,styleinspo,contentcreatormalta,,,,,,,2017
3507574123173966037,user1,2024-11-23T09:50:40.000Z,"Naples, Italy","Last from Napoli ❤️‍🩹

.
.
.
.
.
.
.
.
.

Fall aesthetic, fall outfit in Italy, autumn outfit inspo, thrifted outfit, street style. #streetstyle #italyootd #autumnoutfits #fallfits #outfitinspiration #pinterestfall #euroaesthetics #styleinspo #thriftedoutfit #microinfluencer #influencermalta #contentcreator #howtostyle",Sidecar,-1,132,,,,,,,,,,,False,,streetstyle,italyootd,autumnoutfits,fallfits,outfitinspiration,pinterestfall,euroaesthetics,styleinspo,thriftedoutfit,microinfluencer,influencermalta,contentcreator,howtostyle,,,,,2017
3505569295782409401,user2,2024-11-20T15:27:26.000Z,,"which one would you wear?
#fallfit #autumnfits #vintagefits",Sidecar,-1,116,,,,,,,,,,,False,,fallfit,autumnfits,vintagefits,,,,,,,,,,,,,,,0
3525168600442355080,user3,2024-12-17T16:27:46.000Z,"Valletta, Malta","GIVEAWAY / a d💘 to all the fashion girlies, we’re giving away YET ANOTHER personalised experience ✨ Win a €100 curated collection just for YOU! It will be based on your size & pinterest board complete with different options to try on during your fitting 🥰 all you have to do is:
1. Follow @_thrift_in_the_city_ , @mayamifsud__ & @hey_its_samii 👯‍♀️
2. Like & tag your friends (1 comment=1 entry so comment as many times as you’d like)
3. Reshare this! ✨🎄 winner announced in a week, good luck!! 💘
-
#thriftmalta #thriftvalletta #malta #valletta #christmasinvalletta #christmas",Sidecar,249,575,,,,,,,,,,,False,,thriftmalta,thriftvalletta,malta,valletta,christmasinvalletta,christmas,,,,,,,,,,,,0
